git merge [remote]/[branch], Sammanfogar ändringar från en fjärrgren in i den nuvarande grenen.
git push [remote] [branch], Skickar inlämnade ändringar till en fjärrgren.
git pull [remote] [branch], Hämtar och sammanfogar ändringar från en fjärrgren.
git cherry-pick [commit hash], Tillämpar ändringarna gjorda i en specificerad commit på den nuvarande grenen.
git rebase [branch], Tillämpar commits ovanpå en annan gren.
git clone --depth 1 [url], Klonar ett fjärrrepository med endast den senaste commiten.
git blame [filename], Visar vem som gjorde ändringar till en specifierad fil.
git clean, Raderar spårningsfria filer.
git bisect, Hjälper till att identifiera vilken commit som introducerade en bugg.
git submodule, Hanterar submoduler i ett repository.
git show-branch, Visar grenstrukturen för ett repository.
git reflog, Visar en lista på alla åtgärder som tagits i ett repository.
git archive, Skapar en .tar eller .zip arkivfil av repositoryt.
git log --graph, Visar en graf över commit-historiken.
git grep, Söker efter text i filer i repositoryt.
git reset --soft [commit hash], Återställer repositoryt.
git init, Initialiserar ett nytt Git-repository i den nuvarande katalogen.
git clone [url], Kopierar ett fjärr Git-repository till din lokala dator.
git status, Visar den aktuella statusen för repositoryt.
git add [filename], Lägger till en fil till stagingområdet.
git commit -m "meddelande", Commitar ändringar med ett meddelande som beskriver ändringarna.
git push, Skickar inlämnade ändringar till ett fjärrrepository.
git pull, Hämtar och sammanfogar ändringar från ett fjärrrepository.
git branch, Visar alla lokala grenar.
git branch [gren namn], Skapar en ny gren med det angivna namnet.
git branch -d [gren namn], Raderar en gren.
git checkout [gren namn], Byter till den specifierade grenen.
git merge [gren namn], Sammanfogar ändringar från den specifierade grenen in i den nuvarande grenen.
git diff, Visar skillnaderna mellan arbetsområdet och stagingområdet.
git log, Visar en logg över alla commits.
git reset [filnamn], Tar bort en fil från stagingområdet.
git reset --hard, Återställer repositoryt till den senaste commiten.
git revert [commit hash], Återgör ändringar som gjorts i en specificerad commit.
git tag, Visar alla taggar.
git tag [tagg namn], Skapar en ny tagg.
git tag -d [tagg namn], Raderar en tagg.
git show [commit hash], Visar ändringarna som gjorts i en specificerad commit.
git stash, Lägger undan ändringar i arbetsområdet för senare användning.
git stash apply, Tillämp
git stash list, Visar en lista på alla stashes.
git stash drop, Tar bort den senaste stashen.
git remote, Visar en lista på alla remote-repositories.
git remote add [namn] [url], Lägger till en ny remote-repository.
git remote rm [namn], Tar bort en remote-repository.
git fetch [remote], Hämtar ändringar från en remote-repository.
git merge [remote]/[branch], Sammanför ändringar från en remote-branch till den aktuella branchen.
